기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20233,A,골목상권,3110566,경의선책거리,CS300022,화장품,13488630,277,13488630,0,4552944,4510394,0,3361520,1063772,0,0,0,0,3701927,8999512,787191,0,1319078,12169552,2744532,1999891,4148711,1446730,2255197,893569,277,0,64,106,0,22,85,0,0,0,0,85,150,42,0,42,235,21,65,106,21,43,21
20233,A,골목상권,3110566,경의선책거리,CS300031,가구,24534170,32,786352,23747818,0,0,786352,0,0,23747818,0,0,0,0,24534170,0,0,0,24534170,0,0,10615746,0,786352,13132072,8,24,0,0,8,0,0,24,0,0,0,0,32,0,0,0,32,0,0,8,0,8,16
20233,A,골목상권,3110566,경의선책거리,CS300043,전자상거래업,3350890277,212567,1942856534,1408033743,389753082,408480785,396359810,371442422,376820435,864702837,543330906,0,0,448241594,1270072118,1617223729,15352836,476681119,2843543313,112201049,2018048349,803785444,193314344,159683678,33191570,120504,92063,24704,24143,23659,22997,25001,54911,37152,0,0,25188,78582,108483,314,23044,189452,11356,139023,39782,10859,9683,1792
20233,A,골목상권,3110569,홍대땡땡거리,CS100001,한식음식점,1852472978,39867,1188473207,663999771,190958571,244588690,261572259,212738748,278614939,405207185,258792586,98418555,14217655,306673588,148470612,804135460,480557108,946779512,571606911,4678537,222034087,366786930,446914245,312996539,164976085,27579,12288,4839,5666,5950,4974,6150,7138,5150,1180,562,12998,4503,14376,6248,22671,13580,332,6596,9337,7780,7045,5169
20233,A,골목상권,3110569,홍대땡땡거리,CS100003,일식음식점,77927448,4480,49085523,28841925,10703720,8212991,10052517,9667670,10448625,15240597,13601328,0,0,37179772,9725936,31021740,0,20523175,51562543,5984212,34072602,12205404,6429773,10637130,2756595,2800,1680,568,489,578,519,646,852,828,0,0,2130,553,1797,0,1204,3050,377,1958,612,455,690,162
20233,A,골목상권,3110569,홍대땡땡거리,CS100004,양식음식점,281469634,9864,173529037,107940597,25908458,32052821,37518898,34971083,43077777,60868160,47072437,19889788,112845,58336996,21006094,119264080,62859831,132446279,126974598,1915218,78800551,100331754,33543770,30068246,14761338,6386,3478,1163,1170,1394,1285,1374,1649,1829,306,4,3687,1093,3916,858,4764,4645,161,2758,3093,1501,1375,517
20233,A,골목상권,3110569,홍대땡땡거리,CS100005,제과점,411017694,44020,274400590,136617104,60314599,44168599,55745414,56175236,57996742,80925075,55692029,524653,93574463,97917447,88096455,100005050,30899626,168236482,227659330,3027157,66577460,90683146,87862125,87071133,60674791,29889,14131,6378,5274,5949,6185,6103,8286,5845,47,9798,10014,8923,11642,3596,18262,25253,392,8548,10057,9202,9103,6214
20233,A,골목상권,3110569,홍대땡땡거리,CS100006,패스트푸드점,36096190,2291,24744119,11352071,3646071,4472861,3879769,6784708,5960710,3120947,8231124,0,0,5594801,6376433,23023500,1101456,18410654,17194862,166763,8299085,7305669,6061937,9419799,4352264,1509,782,214,261,223,419,392,214,568,0,0,325,465,1427,74,1188,1084,9,589,475,353,533,313
20233,A,골목상권,3110569,홍대땡땡거리,CS100007,치킨전문점,9101648,730,5459649,3641999,930584,1182980,903135,1579314,863636,2805143,836856,575757,0,387632,592495,4037663,3508101,4638861,4188298,210888,3196790,1093269,1198379,3034105,93729,488,242,94,128,79,107,80,169,73,27,0,21,74,353,255,402,321,20,267,128,114,167,27
20233,A,골목상권,3110569,홍대땡땡거리,CS100008,분식전문점,95623358,10562,62140309,33483049,11829819,10932258,14356699,12400773,12620760,18463434,15019615,0,4597857,41559194,22029849,27377152,59306,42540251,48992418,5799594,23634575,24147166,12150093,17942711,7858526,6821,3741,1310,1279,1554,1355,1323,2099,1642,0,481,4363,2613,3095,10,4625,5620,714,2730,2619,1342,2115,725
